ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,LocationID,no_leisure_pa,mental_distress
02148,860Z200US02148,02148,02148,Z5,13069031,99282,02148,20.9,16.1
01529,860Z200US01529,01529,01529,Z5,12592203,143333,01529,23.6,18.5
02062,860Z200US02062,02062,02062,Z5,27322212,446602,02062,19,14.7
01843,860Z200US01843,01843,01843,Z5,8739521,637408,01843,30.3,18.4
01201,860Z200US01201,01201,01201,Z5,156363181,7028343,01201,24,17
01355,860Z200US01355,01355,01355,Z5,123023383,36292773,01355,18.7,14.7
02356,860Z200US02356,02356,02356,Z5,35241721,748117,02356,19.8,14.9
01106,860Z200US01106,01106,01106,Z5,24826538,1451238,01106,18.9,13.9
01108,860Z200US01108,01108,01108,Z5,8912392,264344,01108,34.3,20.4
02152,860Z200US02152,02152,02152,Z5,4292260,3151089,02152,20,15.4
01475,860Z200US01475,01475,01475,Z5,110775490,2722619,01475,24.6,18.5
02537,860Z200US02537,02537,02537,Z5,35537876,891854,02537,16.4,13.3
02043,860Z200US02043,02043,02043,Z5,57444973,2154820,02043,15.1,12.2
02124,860Z200US02124,02124,02124,Z5,7686578,192764,02124,27.8,18.8
01876,860Z200US01876,01876,01876,Z5,53952841,1118220,01876,17.4,14.6
02132,860Z200US02132,02132,02132,Z5,12597621,249019,02132,16.6,13.2
01701,860Z200US01701,01701,01701,Z5,43741623,1611795,01701,15.5,13.3
01603,860Z200US01603,01603,01603,Z5,11732267,332402,01603,30.2,19.2
02481,860Z200US02481,02481,02481,Z5,15772055,732552,02481,14.7,14.1
01536,860Z200US01536,01536,01536,Z5,22174300,767238,01536,20.2,15.5
01420,860Z200US01420,01420,01420,Z5,77850259,1793220,01420,27.8,19.1
01450,860Z200US01450,01450,01450,Z5,84871359,2608214,01450,13.5,13
01970,860Z200US01970,01970,01970,Z5,21347873,24157023,01970,19.7,16.8
02557,860Z200US02557,02557,02557,Z5,8391732,10309248,02557,19.8,14.2
01026,860Z200US01026,01026,01026,Z5,72654747,529601,01026,21.4,15.5
02445,860Z200US02445,02445,02445,Z5,6762759,139681,02445,13.8,12.6
01236,860Z200US01236,01236,01236,Z5,17135580,170364,01236,18.1,13.9
